Soil_Type,pH_Level,Nitrogen,Phosphorus,Potassium,Organic_Matter,Soil_Moisture,Temperature,Humidity,Rainfall,Wind_Speed,Water_Table,Location,Altitude,Best_Crop
Sandy,5.64,242.69,21.71,153.16,3.42,Dry,18.25,74.11,1923.97,8.45,6.92,Temperate,1824.17,Rice
Clay,5.37,123.62,24.3,27.4,0.83,Moderate,28.61,83.57,1659.41,18.14,5.49,Tropical,1820.25,Soybean
Sandy,8.37,234.01,125.92,30.55,4.45,Wet,27.93,58.29,1018.71,15.82,3.38,Arid,551.42,Rice
Sandy,7.34,24.11,62.13,137.82,3.85,Dry,20.75,79.0,1674.9,4.38,8.94,Tropical,1370.87,Soybean
Loamy,6.28,110.94,64.19,47.18,1.0,Dry,23.4,76.98,1420.68,18.81,3.0,Temperate,1875.16,Wheat
Loamy,5.41,140.35,44.75,117.94,3.29,Wet,34.28,22.87,1309.47,3.78,7.74,Temperate,321.8,Wheat
Clay,6.79,10.87,70.75,172.82,4.14,Wet,25.87,29.61,1178.02,13.77,9.73,Temperate,435.68,Rice
Sandy,8.16,243.4,26.25,64.66,1.5,Wet,17.79,73.02,586.35,0.91,9.28,Temperate,877.68,Barley
Sandy,7.61,65.81,50.68,36.6,2.17,Wet,33.57,51.07,792.76,10.37,4.0,Temperate,1102.55,Barley
Sandy,6.24,205.63,26.19,141.33,3.0,Moderate,16.85,24.43,664.76,9.52,9.95,Arid,299.95,Wheat
Clay,6.41,13.2,36.47,179.12,1.05,Dry,18.54,29.85,743.52,15.11,4.12,Temperate,110.85,Barley
Loamy,8.12,157.72,109.18,91.43,4.94,Wet,15.46,77.71,1534.39,1.3,5.0,Tropical,1387.52,Maize
Sandy,6.11,229.02,141.4,96.45,3.59,Wet,27.39,73.52,1352.4,9.34,9.5,Temperate,350.13,Maize
Loamy,7.57,156.73,51.53,121.73,3.39,Wet,12.21,55.59,1227.85,4.32,4.62,Temperate,734.68,Soybean
Loamy,8.33,74.59,6.91,117.86,4.78,Dry,21.75,56.27,1188.57,19.84,8.27,Temperate,1922.77,Soybean
Sandy,5.61,88.45,80.11,141.22,2.59,Wet,32.47,64.54,741.64,13.29,7.15,Temperate,1761.61,Soybean
Sandy,5.23,159.01,97.33,241.99,3.7,Dry,29.08,41.41,766.24,4.69,2.52,Temperate,636.17,Maize
Clay,5.11,116.15,50.94,175.13,2.94,Wet,35.66,58.07,817.02,7.22,5.98,Tropical,1231.7,Wheat
Sandy,6.28,49.04,57.13,85.54,0.85,Moderate,29.88,85.58,703.01,3.87,5.1,Arid,1620.48,Rice
Loamy,6.77,87.23,55.77,242.44,4.27,Moderate,12.54,24.34,1349.61,6.5,4.63,Temperate,1442.74,Sugarcane
Loamy,7.07,179.7,28.44,183.66,0.7,Dry,13.06,34.68,822.22,2.04,7.08,Tropical,124.64,Sugarcane
Clay,5.78,89.89,110.34,90.68,3.04,Moderate,25.84,64.28,692.23,7.75,4.17,Arid,452.96,Barley
Clay,6.41,134.86,34.64,98.94,3.96,Wet,14.52,30.73,974.71,13.73,3.03,Arid,456.8,Wheat
Loamy,5.44,130.48,89.2,78.24,0.64,Moderate,21.52,31.77,839.63,2.99,3.18,Tropical,1441.72,Rice
Loamy,6.06,118.56,80.63,11.5,3.2,Moderate,22.88,54.93,906.14,6.14,1.21,Arid,534.27,Wheat
Loamy,6.84,47.47,54.63,222.83,1.96,Wet,18.39,61.76,1583.21,18.89,4.75,Arid,1665.96,Rice
Loamy,8.07,207.76,137.4,110.16,2.7,Moderate,10.6,42.9,1266.07,10.38,1.91,Temperate,1743.31,Rice
Sandy,6.61,168.98,142.42,84.35,0.9,Moderate,31.01,34.65,1905.55,10.12,5.47,Tropical,109.47,Maize
Loamy,7.16,154.32,121.56,47.27,4.87,Moderate,12.92,74.48,1236.51,14.38,0.5,Temperate,1280.89,Wheat
Loamy,7.88,18.5,68.54,128.44,1.07,Dry,13.55,86.82,1629.87,1.06,3.0,Temperate,1316.96,Sugarcane
Sandy,7.7,80.96,56.18,154.97,1.68,Dry,38.87,77.16,1313.11,12.81,2.59,Temperate,993.28,Soybean
Loamy,5.84,181.79,122.07,211.06,1.52,Moderate,23.46,58.41,931.19,2.55,3.47,Tropical,698.0,Soybean
Sandy,7.58,150.46,127.13,52.4,3.89,Moderate,14.52,40.54,1582.1,14.16,7.85,Arid,722.41,Maize
Sandy,5.78,282.04,83.43,70.65,1.86,Moderate,39.45,56.02,1054.76,8.42,6.29,Temperate,1427.73,Sugarcane
Sandy,8.16,162.7,129.74,97.58,1.37,Moderate,29.54,23.44,1190.91,9.14,0.54,Temperate,1892.23,Sugarcane
Sandy,7.21,105.16,69.95,192.8,1.23,Moderate,23.12,89.22,792.99,3.34,9.56,Tropical,572.1,Soybean
Loamy,5.97,185.22,96.02,192.88,2.18,Moderate,31.78,64.06,1740.25,14.47,3.72,Tropical,344.42,Barley
Loamy,6.18,162.46,126.45,153.04,3.08,Dry,30.4,71.72,1048.07,12.64,3.38,Temperate,320.11,Sugarcane
Loamy,8.46,167.39,13.37,159.93,3.83,Dry,19.77,36.04,1673.4,16.05,2.71,Tropical,908.18,Soybean
Loamy,6.97,236.47,114.27,162.99,1.48,Moderate,22.38,65.36,1255.18,6.45,9.53,Temperate,901.01,Barley
Loamy,7.37,143.97,90.22,169.43,2.68,Dry,38.51,41.41,1363.46,10.87,3.51,Arid,336.4,Barley
Loamy,8.33,227.57,10.26,150.22,1.2,Wet,10.97,62.31,1380.13,16.45,0.68,Arid,1914.36,Sugarcane
Clay,7.11,157.98,72.75,44.13,1.52,Wet,12.11,51.26,826.93,19.14,3.78,Temperate,767.98,Rice
Loamy,6.36,65.65,79.01,81.03,4.15,Dry,16.17,71.33,987.57,12.25,6.63,Tropical,546.3,Sugarcane
Loamy,6.46,190.95,91.59,103.36,4.36,Wet,20.39,74.06,1692.42,0.19,2.99,Arid,1174.58,Sugarcane
Sandy,7.35,12.41,34.3,27.89,3.04,Wet,39.61,38.14,1091.58,4.51,2.68,Tropical,1258.76,Sugarcane
Clay,7.05,122.21,104.47,137.07,3.12,Moderate,16.92,80.76,1467.11,12.76,3.37,Temperate,144.46,Rice
Sandy,6.73,116.13,124.24,151.86,3.27,Dry,16.9,47.07,1668.01,15.89,5.82,Arid,693.12,Soybean
Sandy,8.26,84.22,48.62,40.26,1.38,Wet,19.63,55.61,977.63,9.59,1.09,Temperate,1322.35,Sugarcane
Sandy,5.26,56.98,53.32,17.48,1.13,Wet,34.41,23.87,1367.17,1.36,6.48,Temperate,1218.91,Maize
Sandy,5.37,101.56,77.87,103.91,3.34,Moderate,28.68,25.39,639.9,16.32,1.14,Arid,337.16,Maize
Sandy,6.6,73.86,47.24,62.29,0.93,Dry,20.29,30.04,1476.95,3.32,9.15,Tropical,1147.04,Barley
Sandy,7.25,288.31,119.88,32.27,4.19,Dry,25.74,49.85,1017.12,1.15,1.5,Temperate,488.09,Barley
Loamy,8.28,147.22,47.09,167.67,2.7,Moderate,14.35,34.92,1323.35,7.83,8.79,Temperate,1385.5,Barley
Loamy,8.42,286.4,125.29,224.82,4.83,Wet,16.65,44.32,1755.35,9.94,0.64,Tropical,1302.32,Wheat
Loamy,6.65,187.81,127.87,72.0,0.82,Moderate,32.66,55.48,1659.5,9.81,2.16,Arid,1017.07,Rice
Loamy,5.13,278.12,76.38,133.75,0.78,Wet,26.54,64.88,1673.22,10.18,8.09,Arid,71.53,Wheat
Loamy,6.19,56.68,83.23,46.55,1.24,Dry,34.49,89.22,1965.45,3.94,7.55,Temperate,872.57,Sugarcane
Loamy,8.33,66.65,145.03,19.62,1.78,Dry,33.78,80.24,1752.68,12.7,7.82,Arid,54.21,Sugarcane
Loamy,7.88,48.27,34.07,182.95,1.62,Moderate,23.41,43.89,912.64,13.11,3.24,Arid,66.7,Rice
Clay,5.48,295.8,91.95,185.05,1.93,Wet,18.11,87.87,849.21,0.09,5.83,Arid,726.9,Wheat
Sandy,5.1,65.37,89.93,39.87,4.59,Dry,25.8,47.07,1097.25,10.97,6.16,Arid,1875.53,Wheat
Clay,7.31,107.07,36.39,171.09,2.51,Dry,20.9,39.79,1957.38,5.01,9.26,Temperate,456.96,Rice
Sandy,5.15,46.76,28.86,48.99,2.71,Moderate,27.86,72.69,992.72,4.71,1.62,Tropical,1796.97,Maize
Loamy,5.53,243.56,125.78,96.32,1.79,Wet,39.14,35.25,1058.14,2.62,9.19,Arid,340.97,Rice
Clay,7.5,76.56,13.46,164.31,4.32,Wet,12.98,80.27,1800.74,7.94,4.3,Tropical,338.22,Rice
Loamy,5.67,111.56,48.02,29.58,1.27,Wet,37.4,53.93,743.29,19.76,9.98,Tropical,912.37,Wheat
Sandy,8.02,158.73,100.02,184.92,2.92,Wet,31.16,43.98,1463.97,15.33,4.69,Temperate,259.78,Barley
Loamy,6.9,141.64,64.35,70.41,2.13,Dry,38.46,85.53,1086.44,8.16,2.5,Temperate,196.16,Barley
Loamy,6.34,21.28,73.8,86.41,2.37,Dry,18.88,83.92,1907.42,5.51,2.31,Tropical,578.61,Sugarcane
Clay,8.26,24.15,33.63,98.34,4.36,Wet,31.97,78.2,1929.57,0.29,0.82,Temperate,1062.49,Sugarcane
Sandy,6.13,49.64,18.42,243.71,1.0,Wet,23.02,66.59,1016.25,16.46,2.25,Arid,907.72,Rice
Sandy,5.71,267.63,46.55,89.58,4.6,Moderate,38.5,45.54,1356.14,3.97,3.3,Temperate,1216.8,Soybean
Loamy,7.77,130.11,81.08,101.92,1.41,Wet,22.63,57.76,980.01,2.81,6.88,Temperate,1919.32,Sugarcane
Sandy,6.83,31.65,28.78,42.99,4.46,Wet,30.11,78.97,1007.93,7.88,1.9,Temperate,400.79,Wheat
Loamy,8.13,229.26,149.67,213.24,2.63,Dry,26.85,24.83,1200.41,13.19,5.9,Tropical,813.54,Sugarcane
Sandy,6.64,73.27,111.83,21.72,1.46,Dry,17.81,35.42,1583.18,8.42,8.81,Tropical,1587.83,Soybean
Loamy,6.41,45.46,30.85,121.2,1.29,Dry,34.72,60.96,1704.14,9.32,1.91,Arid,978.23,Maize
Sandy,6.66,291.07,104.92,91.93,4.91,Dry,28.83,89.56,1327.26,6.35,2.55,Arid,1990.39,Rice
Loamy,6.75,243.9,30.25,105.1,1.97,Dry,35.34,64.06,939.4,7.88,9.22,Temperate,435.07,Rice
Sandy,5.73,81.09,54.18,242.17,2.15,Moderate,39.69,27.63,798.13,4.81,5.97,Arid,516.64,Soybean
Clay,7.75,108.03,81.11,208.91,2.14,Wet,31.2,29.76,1423.21,11.71,8.24,Tropical,720.04,Rice
Loamy,6.3,202.32,21.77,139.86,3.13,Wet,36.57,48.01,1268.52,14.51,7.68,Temperate,1279.33,Barley
Clay,6.14,53.08,83.32,204.11,0.87,Wet,13.3,89.37,1475.13,9.31,4.3,Temperate,1856.01,Rice
Sandy,6.23,96.6,96.63,204.86,4.46,Moderate,17.12,39.28,1301.16,8.9,4.58,Temperate,769.37,Maize
Sandy,5.73,112.59,29.17,208.64,4.87,Moderate,11.64,25.76,1690.34,1.35,1.85,Tropical,1481.02,Maize
Clay,7.53,34.13,30.78,77.17,3.92,Dry,22.5,34.65,1578.14,15.65,2.61,Arid,1791.72,Sugarcane
Clay,8.33,179.87,49.12,213.68,3.28,Moderate,29.28,77.5,1242.71,13.71,2.5,Arid,1439.73,Rice
Sandy,6.24,147.32,121.41,162.38,1.93,Wet,38.6,22.97,657.58,15.94,0.75,Arid,108.86,Barley
Sandy,7.38,171.15,15.44,139.79,2.24,Moderate,12.42,43.83,1631.0,4.85,7.35,Arid,569.18,Barley
Loamy,6.96,140.28,97.16,181.63,4.93,Wet,26.81,44.65,581.47,15.77,6.73,Temperate,1532.63,Sugarcane
Clay,5.59,265.13,31.42,75.81,2.36,Moderate,26.46,64.17,815.16,1.15,9.6,Tropical,1677.49,Soybean
Clay,5.39,69.58,81.21,141.89,3.62,Dry,25.27,45.39,513.56,16.55,3.34,Temperate,201.46,Sugarcane
Sandy,6.01,143.19,121.76,192.5,3.57,Wet,26.5,85.84,789.2,16.96,3.76,Temperate,1210.74,Wheat
Loamy,6.95,236.47,92.23,128.67,4.2,Dry,34.04,40.95,1551.25,10.91,1.93,Temperate,549.9,Sugarcane
Loamy,7.42,74.16,5.09,34.62,3.5,Dry,33.68,41.13,1235.35,16.03,3.15,Temperate,1783.01,Rice
Clay,6.26,116.46,115.27,207.46,2.98,Dry,29.5,58.66,916.24,5.68,5.05,Arid,1463.57,Sugarcane
Sandy,6.47,20.44,52.89,197.37,4.77,Moderate,16.0,44.79,1995.75,16.72,1.48,Tropical,1499.83,Wheat
Sandy,5.36,65.02,101.8,108.44,2.88,Dry,15.96,30.16,1084.33,13.41,2.41,Arid,198.7,Wheat
Clay,7.26,215.99,96.7,245.96,3.81,Wet,36.83,32.91,1704.03,5.51,8.19,Tropical,81.32,Sugarcane
Loamy,7.6,170.23,90.74,114.15,2.58,Wet,17.1,66.85,1407.45,11.28,9.03,Arid,1266.86,Rice
Loamy,8.01,173.78,33.63,171.03,4.44,Dry,16.45,51.78,601.87,19.32,0.53,Arid,1912.64,Soybean
Sandy,5.84,115.0,125.08,99.6,1.49,Moderate,28.18,21.79,1511.75,19.91,7.71,Arid,711.56,Wheat
Clay,6.11,123.53,93.35,214.56,0.92,Wet,17.37,70.1,1004.52,12.41,1.41,Temperate,249.75,Sugarcane
Clay,7.76,142.34,131.63,210.24,3.12,Dry,36.84,81.01,1858.29,15.97,2.97,Arid,1991.23,Rice
Clay,8.15,240.6,145.58,103.26,4.88,Moderate,35.49,84.78,1245.68,5.72,0.74,Tropical,1113.79,Maize
Sandy,5.52,181.04,118.62,17.59,4.98,Moderate,10.03,57.63,562.56,16.66,1.95,Tropical,1872.97,Maize
Sandy,8.1,277.8,138.39,47.35,1.6,Wet,14.59,25.39,1363.76,12.77,4.95,Arid,993.43,Soybean
Clay,6.06,56.25,97.33,17.36,4.62,Moderate,26.55,29.36,1739.08,7.36,1.83,Tropical,1815.08,Soybean
Loamy,6.36,160.79,42.76,43.33,1.76,Wet,29.17,83.41,1489.85,1.58,3.8,Tropical,526.46,Barley
Sandy,5.93,272.99,11.41,101.2,3.02,Moderate,23.15,81.17,543.35,9.13,2.28,Arid,838.48,Rice
Sandy,7.29,96.27,29.99,63.28,3.01,Dry,36.48,53.23,1716.26,4.62,9.17,Temperate,538.81,Wheat
Sandy,5.87,42.65,120.61,106.21,2.53,Moderate,35.47,35.39,1530.11,6.71,3.61,Temperate,760.95,Soybean
Clay,6.33,126.39,125.58,140.06,4.62,Dry,14.62,20.54,1309.36,7.11,9.22,Arid,1380.56,Maize
Loamy,8.43,259.23,96.32,26.47,4.9,Wet,23.39,50.16,1871.76,5.75,5.5,Arid,1766.86,Wheat
Sandy,7.83,129.81,14.02,183.97,1.86,Wet,30.41,24.44,1687.53,14.39,5.55,Tropical,391.84,Maize
Clay,6.1,94.77,63.62,214.7,3.46,Wet,26.7,40.7,846.47,19.37,2.88,Tropical,827.23,Wheat
Sandy,6.99,105.87,58.27,82.1,4.36,Moderate,31.48,23.44,911.41,15.18,9.5,Temperate,1676.5,Barley
Sandy,6.78,268.86,25.56,23.84,3.06,Wet,24.69,54.85,1581.18,19.52,1.22,Tropical,814.5,Barley
Sandy,8.25,105.01,89.32,209.19,2.89,Wet,32.83,71.93,1207.29,13.77,5.89,Temperate,512.62,Maize
Loamy,6.56,247.69,95.0,79.44,0.82,Dry,39.32,66.73,838.91,19.84,2.44,Temperate,1148.47,Wheat
Sandy,6.01,220.22,54.39,91.84,1.05,Dry,24.27,41.22,619.21,10.73,5.31,Arid,720.38,Soybean
Loamy,6.44,242.66,41.53,248.06,3.74,Dry,13.95,84.04,1100.91,13.07,3.18,Tropical,406.15,Maize
Loamy,7.56,48.29,103.27,80.88,2.42,Dry,16.36,75.73,1499.36,5.51,2.74,Arid,1662.78,Maize
Loamy,7.74,52.62,138.79,193.9,2.85,Wet,33.13,32.47,1691.48,5.66,8.93,Arid,988.08,Rice
